name,permalink,perfect_match,schools,school_subjects,job_titles,founded_on,location,undisclosed_amount,fund 0,categories,fund 1,fund 2,fund 3,fund 4,fund 5,fund 6,fund 7,fund 8,fund 9,fund 10,fund 11,fund 12,fund 13,fund 14,fund 15,fund 16,fund 17,fund 18,fund 19,fund 20,fund 21,fund 22,fund 23,fund 24,fund 25,num_fund_rounds
Global Dog,global-dog,no,"duke-university, mccombs-school-of-business",Accounting,"Managing Member, Managing Director",2017,"Austin, Texas",yes,0,"Mobile Apps, Pet, Social Media, Social Network",,,,,,,,,,,,,,,,,,,,,,,,,,1
GoLoad,goload,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Groove.id,groove-id,no,,,"Co-Founder, CTO",2017,"Austin, Texas",yes,0,"Biometrics, Cloud Security, Identity Management, SaaS, Security",,,,,,,,,,,,,,,,,,,,,,,,,,1
Herron Tech,herron-techology-llc,no,,,"Co-Founder & Partner, Founder",2017,"Boston, Massachusetts",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
HomeBit,homebit,no,,,"CEO, Founder/CEO, Founder/President, CEO, Co-Founder, Advisor",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"HomeWayz, Inc.",homewayz-inc,no,"booth-school-of-business, uc-berkeley-college-of-letters-science","Finance and Accounting, Astrophysics/MCB","Chief Operating Officer, CEO and Co-Founder, CEO and Co-Founder",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ICON Technology,icon3d,no,texas-a-m-university,Biology,"Co-Founder and CEO, CEO",2017,"Austin, Texas",yes,2021:207000000,"3D Printing, Advanced Materials, Mechanical Design, Robotics",2021:15499997,0,2020:35000000,0,2018:9000000,,,,,,,,,,,,,,,,,,,,,6
Immersed Inc.,immersedteam,no,"georgia-institute-of-technology, emory-university","Computational Perception & Robotics, Mathematics & Computer Science","Founder, CEO & CTO",2017,"Austin, Texas",no,2021:8100000,"Software, Virtual Reality",2020:2200000,2020:1000000,2018:265000,2017:340000,2017:100000,2017:20000,2017:50000,,,,,,,,,,,,,,,,,,,8
JuiceBox Hero,juicebox-hero,no,,,,2017,"Austin, Texas",yes,0,"Information Technology, Internet, iOS, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
KERV Interactive,kerv-interactive,no,university-of-utah,Mass Communication/Media Studies,Founder,2017,"Austin, Texas",no,2021:11000000,"Advertising, Content, Digital Media, Information Technology, Internet, Marketing, Software, Video",2019:11000000,,,,,,,,,,,,,,,,,,,,,,,,,2
Kiss & Tell,kiss-tell,no,florida-state-university,Spanish Major / Business Minor,Founder & CEO,2017,"Bellevue, Washington",no,2019:40000,"Hospitality, Travel, Wedding",2018:88000,2017:100000,2017:279000,,,,,,,,,,,,,,,,,,,,,,,4
"Kittr, Inc.",kittr-inc,no,,,"Co-Founder, CTO",2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Lettershine,lettershine,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Spot Insurance,life-by-spot,no,,,"Co-Founder & CEO, Co-Founder & CEO",2017,"Austin, Texas",yes,2021:15000000,"Finance, Health Insurance, Insurance, Lifestyle, Outdoors",2021:2500000,0,2018:5800000,,,,,,,,,,,,,,,,,,,,,,,4
Lingotax,lingotax,no,,,"Co-Founder, Co-Founder, Technology & Marketing",2017,"Austin, Texas",yes,0,Human Resources,,,,,,,,,,,,,,,,,,,,,,,,,,1
Lithium Werks,lithium-werks,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Living Security,living-security,no,,,CSO,2017,"Austin, Texas",yes,2021:14000000,"Cyber Security, Information Technology, Network Security, Security",2020:5000000,2018:1250000,0,,,,,,,,,,,,,,,,,,,,,,,4
Locus Insights,locus-insights,no,university-of-texas-at-austin,Supply Chain Management,"Accelerator, Co-Founder & CEO, Senior Analyst",2017,"Austin, Texas",no,2018:345000,"Analytics, Computer Vision, Software",2018:120000,,,,,,,,,,,,,,,,,,,,,,,,,2
Locus Tracking,locus-tracking,no,,,,2017,"Austin, Texas",no,2018:100000,"Artificial Intelligence, Machine Learning, Mobile, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Luxe Minerals,luxe-minerals,no,,,"Chief Executive Officer, CEO, Chief Executive Officer & Co-Founder",2017,"Austin, Texas",no,2017:254000000,"Energy, Oil and Gas",,,,,,,,,,,,,,,,,,,,,,,,,,1
Mansion Ecommerce,mansion-ecommerce,no,indian-institute-of-technology-madras,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Market Vulture,market-vulture,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mindtronic AI,mindtronic-ai,no,,,,2017,"Austin, Texas",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
