permalink+accelerator,permalink,cohort_year,accelerator,founders
buildup@UpwestLabs,buildup,2015,UpwestLabs,"Oren Cohen, Yael Sherman"
buildzoom@y combinator,buildzoom,2013,y combinator,"David Petersen, Jiyan Wei"
bulletin@y combinator,bulletin,2017,y combinator,"Alana Branston, Ali Kriegsman"
calliope-waterworks-inc@Highway1,calliope-waterworks-inc,2016,Highway1,"Hilary Bryant, Joel Boutros, Keri Waters, Richard Lane"
burrow@y combinator,burrow,2016,y combinator,"Kabeer Chopra, Stephen Kuhl"
burstiq@500startups,burstiq,2016,500startups,"Brian Jackson, Frank Ricotta"
butter-systems@y combinator,butter-systems,2013,y combinator,"Jon Li, Sam Brin"
buttercoin@y combinator,buttercoin,2013,y combinator,"Bennett Hoffman, Cedric Dahl"
buxfer@y combinator,buxfer,2007,y combinator,"Ashwin Bharambe, Shashank Pandit"
buzzspice@UpwestLabs,buzzspice,2013,UpwestLabs,"Alon Levin, Moti Radomski"
buzzstarter@500startups,buzzstarter,2013,500startups,Carlo de los Santos
byte@TheAlchemistAccelerator,byte,2015,TheAlchemistAccelerator,"Lee Mokri, Megan Mokri"
cadence-2@500startups,cadence-2,2017,500startups,"Jonathan Rechtman, Matt Conger, Phil Kohn"
caelum-health@y combinator,caelum-health,2017,y combinator,"Lauren Kelley-Chew, Luke Kelley-Chew"
california-dreamin@y combinator,california-dreamin,2018,y combinator,"Amy Ludlum, Peter Bishop"
call9@y combinator,call9,2015,y combinator,"Celina Tenev, Timothy Peck, XiaoSong Mu"
callisto@y combinator,callisto,2018,y combinator,Jess Ladd
cambly@y combinator,cambly,2014,y combinator,"Kevin Law, Sameer Shariff"
cambrian-genomics@TheAlchemistAccelerator,cambrian-genomics,2012,TheAlchemistAccelerator,"Anselm Levskaya, Austen Heinz, George Church, John Mulligan, Lukman Winoto, Reese Jones, Sagar Indurkhya"
captivateiq@y combinator,captivateiq,2018,y combinator,"Hubert Wong, Mark Schopmeyer"
cardash@y combinator,cardash,2017,y combinator,"Sam Corcos, Todd Opalski, Yinon Weiss"
cardflick@500startups,cardflick,2012,500startups,Ketan Anjaria
cardpool@y combinator,cardpool,2010,y combinator,"Anson Tsai, Timothy Wong"
careledger@y combinator,careledger,2015,y combinator,"Klaus Mergener, Oliver Takach"
carelulu@500startups,carelulu,2014,500startups,"Evgeniya Usmanova, Gabriel Marques, Patrick Matos"
caremessage@y combinator,caremessage,2014,y combinator,"Cecilia Corral, Manuel Rivera, Vineet Singal"
careskore@y combinator,careskore,2016,y combinator,"Jas Grewal, Puneet Grewal"
carlypso@y combinator,carlypso,2014,y combinator,"Christopher Coleman, Nicholas Hinrichsen"
carrot-fertility@y combinator,carrot-fertility,2017,y combinator,"Arun Venkatesan, Asima Ahmad, Juli Insinger, Tammy Sun"
carsabi@y combinator,carsabi,2012,y combinator,"Christopher Berner, Dwight Crow"
carta-healthcare@TheAlchemistAccelerator,carta-healthcare,2017,TheAlchemistAccelerator,
carwoo@y combinator,carwoo,2009,y combinator,"Michael Young, Tommy McClung"
casetext@y combinator,casetext,2013,y combinator,Jake Heller
castle-2@y combinator,castle-2,2016,y combinator,"Max Nussenbaum, Scott Lowe, Tim Dingman"
castle@y combinator,castle,2016,y combinator,"Johan Brissmyr, Sebastian Wallin"
catnip@500startups,catnip,2014,500startups,"Artem Ptashnick, Dmitry Dumik"
cattle-care@TheAlchemistAccelerator,cattle-care,2017,TheAlchemistAccelerator,
cavalry-2@NFX,cavalry-2,2016,NFX,Paul DeJoe
one-protocol-inc-1protocol@y combinator,one-protocol-inc-1protocol,2015,y combinator,"Jeff Chang, Karan Sood"
cellbreaker@500startups,cellbreaker,2015,500startups,"Haider Khan, Jon Colgan, Jules Hill, Justin Baker"
chalkable@500startups,chalkable,2012,500startups,"Michael Levy, Zoli Honig"
chariot-4@y combinator,chariot-4,2015,y combinator,"Ali Vahabzadeh, Romain Di Vuolo"
chart-io@y combinator,chart-io,2010,y combinator,"Daniel Levine, Dave Fowler, David Beyer"
chatfuel@y combinator,chatfuel,2016,y combinator,Dmitry Dumik
chattingcat-co@500startups,chattingcat-co,2015,500startups,"April Kim, Geunbae Lee"
check-my-campus@fbFund,check-my-campus,2008,fbFund,
checkbook-io@BoostVC,checkbook-io,2015,BoostVC,PJ Gupta
checkr@y combinator,checkr,2014,y combinator,"Daniel Yanisse, Jonathan Perichon"
cheddar-up@500startups,cheddar-up,2015,500startups,"Molly DiCarlo, Nichole Montoya"
chesscademy@ImagineK12,chesscademy,2014,ImagineK12,"Andrew Ng, Francis Hinson, Sabar Dasgupta"
chewse@500startups,chewse,2012,500startups,"Jeff Schenck, Tracy Lawrence"
chorus@500startups,chorus,2011,500startups,Neil Bodick
chouxbox@500startups,chouxbox,2014,500startups,"Benjamin Kanner, Tony Aiazzi, Victoria Mo, Xavier Mariezcurrena"
chronon-systems@TheAlchemistAccelerator,chronon-systems,2013,TheAlchemistAccelerator,"Brian Noll, Paul McCabe, Prashant Deva"
chute@y combinator,chute,2012,y combinator,"Gaurav Sharma, Gregarious Narain, Ranvir Gujral"
palate-home@y combinator,palate-home,2015,y combinator,"Eric Norman, Jim Reich"
circle-medical-2@y combinator,circle-medical-2,2015,y combinator,"Brent LaRue, George Favvas, Jean-Sebastien Boulanger"
cirrosecure@TheAlchemistAccelerator,cirrosecure,2013,TheAlchemistAccelerator,"Nishant Doshi, Vikrant Karvir"
cirrus-identity@500startups,cirrus-identity,2015,500startups,Dedra Chamberlin
citus-data@y combinator,citus-data,2011,y combinator,"Ozgun Erdogan, Sumedh Pathak, Umur Cubukcu"
cityblis@500startups,cityblis,2013,500startups,"Emily DeSanctis, Pouria Sanae"
cladwell@500startups,cladwell,2016,500startups,"Blake Smith, Chris Merchich, Tim Brunk"
claimcompass@500startups,claimcompass,2016,500startups,"Alexander Sumin, Tatyana Mitkova, Velizar Shulev"
clara-labs@y combinator,clara-labs,2014,y combinator,"Maran Nelson, Michael Akilian"
class-central@ImagineK12,class-central,2013,ImagineK12,Dhawal Shah
classconnect-technologies@ImagineK12,classconnect-technologies,2011,ImagineK12,"Eric Simons, Scott Rice, Ted Kalaw, Vic Rawat"
classdojo@ImagineK12,classdojo,2011,ImagineK12,"Liam Don, Sam Chaudhary"
classroom-iq@ImagineK12,classroom-iq,2013,ImagineK12,"Dave Beazley, Steve Dillinger"
classwork@ImagineK12,classwork,2013,ImagineK12,
cleanify@500startups,cleanify,2014,500startups,"Amanda Potter, Justin Potter, Luis Sanchez"
cleanly@y combinator,cleanly,2015,y combinator,"Chen Atlas, Itay Forer, Tom Harari"
clearbrain@y combinator,clearbrain,2018,y combinator,"Bilal Mahmood, Eric Pollmann"
clerky@y combinator,clerky,2011,y combinator,"Chris Field, Darby Wong"
clever@y combinator,clever,2012,y combinator,"Dan Carroll, Rafael Garcia, Tyler Bosmeny"
click-grow@y combinator,click-grow,2015,y combinator,Mattias Lepp
clickfacts@y combinator,clickfacts,2005,y combinator,Michael Caruso
clouber@TheAlchemistAccelerator,clouber,2016,TheAlchemistAccelerator,Naveen Nimmu
cloudacademy@500startups,cloudacademy,2014,500startups,"Giacomo Marinangeli, Stefano Bellasio"
cloudant@y combinator,cloudant,2008,y combinator,"Adam Kocoloski, Alan Hoffman, Michael Miller"
cloudkick@y combinator,cloudkick,2009,y combinator,"Alex Polvi, Dan Di Spaltro"
cloudmedx@y combinator,cloudmedx,2015,y combinator,"Sahar Arshad, Tashfeen Suleman"
cloudstitch@y combinator,cloudstitch,2015,y combinator,"Jake Lau, Ted Benson"
pinxter-inc@500startups,pinxter-inc,2015,500startups,"Christine Miao, Matthew Casey"
clustrix@y combinator,clustrix,2006,y combinator,"Paul Mikesell, Sergei Tsarev"
clutch-io@y combinator,clutch-io,2011,y combinator,"Eric Florenzano, Eric Maguire"
coachmarket@500startups,coachmarket,2015,500startups,Glenn Laumeister
gopillar-academy@500startups,gopillar-academy,2015,500startups,"Federico Schiano di Pepe, Filippo Schiano di Pepe"
cocoon-cam@Highway1,cocoon-cam,2016,Highway1,"Pavan Kumar, Rubi Sanchez, Sivakumar Nattamai"
cocusocial@y combinator,cocusocial,2017,y combinator,"Billy Guan, Helen Sun"
codecademy@y combinator,codecademy,2011,y combinator,"Ryan Bubinski, Zachary Sims"
codecombat@y combinator,codecombat,2014,y combinator,"Matt Lott, Nick Winter, Scott Erickson"
codeeval@i/oventures,codeeval,2011,i/oventures,"Jimmy John, William Hsu"
codehs@ImagineK12,codehs,2012,ImagineK12,"Jeremy Keeshin, Zach Galant"
codenow@y combinator,codenow,2014,y combinator,Ryan Seashore
codersclan@UpwestLabs,codersclan,2013,UpwestLabs,"Dror Cohen, Uri Ezra"
coderwall@y combinator,coderwall,2012,y combinator,Matthew Deiters
codeupstart@500startups,codeupstart,2015,500startups,Gillian Tee
coeio@500startups,coeio,2016,500startups,"Jae Rhim Lee, Mike Ma"
cofactor-genomics@y combinator,cofactor-genomics,2015,y combinator,Jarret Glasscock
cognito-networks@TheAlchemistAccelerator,cognito-networks,2017,TheAlchemistAccelerator,Kittur Nagesh
cognuse@500startups,cognuse,2016,500startups,"Andres Mellik, Danil Harik, Olari Koresaar"
coin@y combinator,coin,2013,y combinator,Kanishk Parashar
coinalytics-co@500startups,coinalytics-co,2014,500startups,"Fabio Federici, James Edwards, William Gleim"
coinbase@y combinator,coinbase,2012,y combinator,"Brian Armstrong, Fred Ehrsam"
coinding@500startups,coinding,2014,500startups,"Emi Velazquez, Fabio Panettieri, Mauro Velazquez"
cointent@y combinator,cointent,2016,y combinator,"Bigi Lui, Bradley Ross, Kendra Gibbons"
cointracker@y combinator,cointracker,2018,y combinator,"Chandan Lodha, Jon Lerner"
collectly-inc@y combinator,collectly-inc,2017,y combinator,"Levon Brutyan, Maxim Mizotin"
color-dating@y combinator,color-dating,2014,y combinator,Vu Tran
comeet@UpwestLabs,comeet,2013,UpwestLabs,"Omer Gottlieb, Omer Tadjer, Shahar Ben David, Tomer Dikerman"
commitchange@BoostVC,commitchange,2013,BoostVC,"Jay Bolton, Roderick Campbell"
compgun@y combinator,compgun,2016,y combinator,"Jake Seip, Tim Sze"
comprehend-systems@y combinator,comprehend-systems,2011,y combinator,"Jud Gardner, Rick Morrison"
compression-kinetics@Highway1,compression-kinetics,2015,Highway1,John Pamplin
compstak@500startups,compstak,2012,500startups,"Michael Mandel, Vadim Belobrovka"
conceptdrop@500startups,conceptdrop,2016,500startups,"Gurmohit Ahluwalia, Mohit Ahluwalia, Phil Alexander"
concertwithme@500startups,concertwithme,2015,500startups,"Anatoliy Polikarpov, Mishlaev Vitaliy"
confident-cannabis@y combinator,confident-cannabis,2015,y combinator,"Stephen Albarran, Tony Lewis"
connectbright@TheAlchemistAccelerator,connectbright,2012,TheAlchemistAccelerator,"Andrea Faz, Sumithra Jonnalagadda"
constructvr@y combinator,constructvr,2016,y combinator,"Chris Tan, Jaime Bueza"
construkts-inc@Highway1,construkts-inc,2014,Highway1,Pamela Jennings
contactually@500startups,contactually,2011,500startups,"Jeff Carbonella, Tony Cappaert, Zvi Band"
contentools@500startups,contentools,2015,500startups,"Elton Miranda, EmÁ©©lia Chagas"
contestmachine@y combinator,contestmachine,2007,y combinator,
contextsmith@TheAlchemistAccelerator,contextsmith,2016,TheAlchemistAccelerator,"Jochen Bedersdorfer, Will Cheung"
contract-simply@y combinator,contract-simply,2017,y combinator,"Andrew Latimer, Will Mitchell"
convox@y combinator,convox,2015,y combinator,David Dollar
cooleaf@500startups,cooleaf,2015,500startups,"John Duisberg, Prem Bhatia, Sarwar Bhuiyan"
copia-2@y combinator,copia-2,2016,y combinator,Kimberly Smith
coreos@y combinator,coreos,2013,y combinator,"Alex Polvi, Brandon Philips"
correlia-biosystems@y combinator,correlia-biosystems,2018,y combinator,"Akwasi Apori, Kursad Araz, Samuel Tia"
cortex@i/oventures,cortex,2011,i/oventures,"Eric Wolf, Joey Primiani"
couple@y combinator,couple,2012,y combinator,"Anton Krutiansky, Aswin Rajendiran, Jamie Murai, Michael Petrov, Oleg Kostour"
court-buddy@500startups,court-buddy,2017,500startups,"James Jones Jr, Kristina Jones"
courtmatics@Highway1,courtmatics,2016,Highway1,"Andre Reznik, Bhanu Pisupati, Vadim Blank"
cover-5@y combinator,cover-5,2016,y combinator,"Anand Dhillon, Ben Aneesh, Karn Saroya, Natalie Gray"
covetly@y combinator,covetly,2017,y combinator,"Brian Law, George Baker, Kenny Lai, Reid Thomas Nahm"
cowlar@y combinator,cowlar,2017,y combinator,"Umer Adnan, Umer Ilyas"
cozy@i/oventures,cozy,2012,i/oventures,"Gino Zahnd, John Bragg"
craftcoffee@y combinator,craftcoffee,2014,y combinator,Michael Horn
cratejoy@y combinator,cratejoy,2013,y combinator,Amir Elaguizy
creativemarket@y combinator,creativemarket,2010,y combinator,"Aaron Epstein, Chris Williams, Darius ""Bubs"" Monsef IV"
credii@500startups,credii,2013,500startups,"Ayan Barua, Vamshi Mokshagundam"
credit-stacks@500startups,credit-stacks,2017,500startups,"Bob Hartheimer, Elnor Rozenrot, Jonathan Jacobi, Shahar Nechmad"
crema-co@500startups,crema-co,2016,500startups,"Emily McIntyre, Tyler Tate"
cribspot@y combinator,cribspot,2015,y combinator,"Evan Dancer, Jason Okrasinski, Tim Jones"
crickethealth@NFX,crickethealth,2015,NFX,"Arvind Rajan, Brian Guarraci, James Chaukos, Vince Kim"
crocodoc@y combinator,crocodoc,2010,y combinator,"Bennett Rogers, Matt Long, Peter Lai, Ryan Damico"
croissant@500startups,croissant,2016,500startups,"Dave Idell, Nisha Garigarn"
croma@500startups,croma,2017,500startups,"Juan Melano, Juan Schwindt, Nacho Harriague"
crowdai@y combinator,crowdai,2016,y combinator,"Devaki Raj, Nicolas Borensztein, Pablo Garcia"
crowdbooster@y combinator,crowdbooster,2010,y combinator,"David Tran, Mark Linsey, Ricky Yean"
crowdcast@NFX,crowdcast,2015,NFX,Sai Hossain
crowdery@y combinator,crowdery,2013,y combinator,"Aditya Viswanathan, Maran Nelson"
crowdmed@y combinator,crowdmed,2013,y combinator,"Jared Heyman, Jessica Greenwalt, Leonardo Setyanto"
crowdplat@500startups,crowdplat,2015,500startups,Sal Sarosh
fragments-a7cb@500startups,fragments-a7cb,2011,500startups,Evan Kuo
cruise@y combinator,cruise,2014,y combinator,"Jeremy Guillory, Kyle Vogt"
cryptomove@TheAlchemistAccelerator,cryptomove,2016,TheAlchemistAccelerator,"Boris Burshteyn, Michael Burshteyn"
cryptoseal@y combinator,cryptoseal,2011,y combinator,"Erik Berls, Ryan Lackey, Tom Sparks"
crysp@TheAlchemistAccelerator,crysp,2015,TheAlchemistAccelerator,"Anand Desai, Dhiresh Salian, Kumar Viswanath"
culture-kitchen@500startups,culture-kitchen,2011,500startups,"Abby Sturges, Jennifer Lopez"
culture-robotics@y combinator,culture-robotics,2018,y combinator,Will Patrick
curious-hat@500startups,curious-hat,2012,500startups,"Erwan Maigret, Luca Prasso"
curtsy@y combinator,curtsy,2016,y combinator,"David Oates, Eli Allen, William Ault"
custora@y combinator,custora,2011,y combinator,"Corey Pierson, Jon Pospischil"
cyberx@UpwestLabs,cyberx,2013,UpwestLabs,"Nir Giller, Omer Schneider"
cycle@BoostVC,cycle,2013,BoostVC,
cymmetria@y combinator,cymmetria,2015,y combinator,"Dean Sysman, Gadi Evron, Imri Goldberg, Irene Abezgauz"
daily-aisle@500startups,daily-aisle,2011,500startups,Jeffrey Lu
dailybooth@y combinator,dailybooth,2009,y combinator,"Jon Wheatley, Nghi NguyÊ≤ºÍø≥, Ryan Amos"
dakwak@500startups,dakwak,2013,500startups,"Waheed Barghouthi, Zaid Amireh"
damntheradio@i/oventures,damntheradio,2010,i/oventures,"AJ Magnuson, Johnny Hwin, Nick Lane-Smith"
darmiyan@y combinator,darmiyan,2017,y combinator,"Kaveh Vejdani, Padideh Kamali-Zare, Thomas Liebmann"
data-marketplace@y combinator,data-marketplace,2010,y combinator,"Matthew Hodan, Steve DeWald"
datanitro@y combinator,datanitro,2012,y combinator,"Benjamin Lerner, Victor Jakubiuk"
datarank@y combinator,datarank,2013,y combinator,"Britt Cagnina, Chuong Nguyen, Kenneth Cason, Ryan Frazier"
datasembly@500startups,datasembly,2015,500startups,"Ben Reich, Daniel Gallagher"
datatron@500startups,datatron,2016,500startups,"Harish Doddi, Jerry Xu"
the-dating-ring@y combinator,the-dating-ring,2014,y combinator,"Emma Tessler, Kathryn Bambino, Lauren Kay"
dchq@500startups,dchq,2015,500startups,"Amjad Afanah, Intesar Shannan Mohammed"
deako@y combinator,deako,2016,y combinator,"Alexander Strunkin, Derek Richardson"
dealflicks@500startups,dealflicks,2012,500startups,"Jenny Ma, Kevin Hong, Sean Wycliffe, Zachary Cancio"
dealupa@y combinator,dealupa,2012,y combinator,"Sanjay Mavinkurve, Vijay Boyapati"
dealyze@y combinator,dealyze,2015,y combinator,"Mark Salpeter, Sam Baron, Will Baron"
deanslist-inc@ImagineK12,deanslist-inc,2013,ImagineK12,"Akshai Patel, Matthew Robins"
dearbrightly@y combinator,dearbrightly,2018,y combinator,"Alda Luong, Amy Chiu"
debteye@y combinator,debteye,2011,y combinator,"John Sun, Paul Zhang"
decisive-health@500startups,decisive-health,2015,500startups,"Jonathan Shih, Nathanael Rosidi"
deep-relevance@TheAlchemistAccelerator,deep-relevance,2016,TheAlchemistAccelerator,Kiran Ratnapu
deep-science-ai@TheAlchemistAccelerator,deep-science-ai,2017,TheAlchemistAccelerator,"Sam Tkach, Sean Huver"
nanovms@TheAlchemistAccelerator,nanovms,2015,TheAlchemistAccelerator,Ian Eyberg
deluux@y combinator,deluux,2008,y combinator,"Paul Mckellar, Philipp Pfeiffenberger"
democracyos@y combinator,democracyos,2015,y combinator,"Pia Mancini, Santiago Siri"
department-of-better-technology@500startups,department-of-better-technology,2016,500startups,"Adam Becker, Clay Johnson, Joshua Goldstein"
dezyre@ImagineK12,dezyre,2015,ImagineK12,"Binny Mathews, Omair Aasim, Omair Aasim"
dharma-labs@y combinator,dharma-labs,2017,y combinator,Nadav Hollander
diaspora@y combinator,diaspora,2012,y combinator,Ilya Zhitomirskiy
diassess@y combinator,diassess,2015,y combinator,"Debkishore Mitra, John Waldeisen"
digital-currency-council@500startups,digital-currency-council,2015,500startups,David Berger
digital-mortar@500startups,digital-mortar,2017,500startups,"Gary Angel, Jesse Gross"
digitaloutposts@500startups,digitaloutposts,2016,500startups,"Ed Hsieh, Eric Dominguez"
digitwhiz@ImagineK12,digitwhiz,2012,ImagineK12,"Elliot Feinberg, Kasey Brown"
direct-match-llc@y combinator,direct-match-llc,2015,y combinator,"James Greco, Kristi Neller"
directed-edge@y combinator,directed-edge,2009,y combinator,"Scott Wheeler, Valentin Hussong"
disclosures-io@y combinator,disclosures-io,2017,y combinator,"Adam Gothelf, Brian Sloss, Paul Nichols"
discoverly@TheAlchemistAccelerator,discoverly,2013,TheAlchemistAccelerator,Theodore Summe
disqus@y combinator,disqus,2007,y combinator,"Daniel Ha, Jason Yan"
divvyshot@y combinator,divvyshot,2009,y combinator,Samuel Odio
doblet-6@y combinator,doblet-6,2014,y combinator,Jeff Chang
doccheer@TheAlchemistAccelerator,doccheer,2017,TheAlchemistAccelerator,Michael Jue
docker@y combinator,docker,2010,y combinator,Solomon Hykes
donde-search@UpwestLabs,donde-search,2014,UpwestLabs,"Liat Zakay, Or Ron, Shai Katzir"
doordash@y combinator,doordash,2013,y combinator,"Andy Fang, Evan Moore, Stanley Tang, Tony Xu"
doorman@500startups,doorman,2014,500startups,"Kapil Israni, Zander Adell"
dosedr@y combinator,dosedr,2016,y combinator,"Dustyn Williams, John Sanders, Marlon Castillo"
dost-education@y combinator,dost-education,2017,y combinator,"Sindhuja Jeyabal, Sneha Sheth"
dotdashpay@Highway1,dotdashpay,2015,Highway1,"Colorado Reed, Joey Mucha, Sean Arietta"
double-robotics@y combinator,double-robotics,2012,y combinator,"David Cann, Marc DeVidts"
doughbies@500startups,doughbies,2014,500startups,"Daniel Conway, Mariam Khan"
down@BoostVC,down,2013,BoostVC,Colin Hodge
doxel@TheAlchemistAccelerator,doxel,2015,TheAlchemistAccelerator,"Robin Singh, Saurabh Ladha"
draft-2@y combinator,draft-2,2011,y combinator,"Brad Lawler, Jason St Peter"
draft@y combinator,draft,2011,y combinator,Nathan Kontny
drchrono@y combinator,drchrono,2011,y combinator,"Daniel Kivatinos, Michael Nusimow"
dreambox@BoostVC,dreambox,2013,BoostVC,"David Pastewka, Pavan Ravipati, Richard Berwick, Will Drevno"
dreamforge@y combinator,dreamforge,2012,y combinator,Nemil Dalal
drip-capital@y combinator,drip-capital,2015,y combinator,"Neil Kothari, Pushkar Mukewar"
drippler@UpwestLabs,drippler,2012,UpwestLabs,"Dotan Galron, Matan Talmi, Ronen Yacobi"
drive-motors@y combinator,drive-motors,2016,y combinator,Aaron Krane
drive-pulse@y combinator,drive-pulse,2014,y combinator,
drone-io@TheAlchemistAccelerator,drone-io,2013,TheAlchemistAccelerator,"Brad Rydzewski, Thomas Burke"
dronebase@y combinator,dronebase,2015,y combinator,"Daniel Burton, Eli Tamanaha"
dropbox@y combinator,dropbox,2007,y combinator,"Arash Ferdowsi, Drew Houston"
dropifi@500startups,dropifi,2013,500startups,"David Osei, Effah Philips Mensah, Kamil Nabong"
dropleaf@y combinator,dropleaf,2017,y combinator,"Vikram Rangraj, Zi Guo"
dscovered@UpwestLabs,dscovered,2013,UpwestLabs,Limor Goldhaber
easel@y combinator,easel,2012,y combinator,"Ben Ogle, Len Hafetz, Matt Colyer"
easypost@y combinator,easypost,2013,y combinator,"Jarrett Streebin, Jon Calhoun"
ebrandvalue@y combinator,ebrandvalue,2015,y combinator,"Ayse Akcura, Tolga Akcura"
echo-locker@y combinator,echo-locker,2013,y combinator,Xuwen Cao
echodio@y combinator,echodio,2009,y combinator,"Cormac Driver, Niall Smart"
eden-3@y combinator,eden-3,2015,y combinator,"Guy Morita, Joe Du Bey, Kyle Wilkinson"
edpuzzle@ImagineK12,edpuzzle,2013,ImagineK12,"Jordi Gonzalez, Quim Sabri, Santi Herrero Bajo, Xavier Verg?ás Parisi"
edshelf@ImagineK12,edshelf,2012,ImagineK12,
educents@ImagineK12,educents,2014,ImagineK12,"Kaitlyn Trabucco, Kate Whiting, Ron Peled"
educreations@ImagineK12,educreations,2011,ImagineK12,"Chris Streeter, Wade Roberts"
eduvant@ImagineK12,eduvant,2011,ImagineK12,"Ben Glazer, Stuart Frye"
edwin@y combinator,edwin,2018,y combinator,"Dmitry Alekseev, Dmitry Stavisky, Igor Lyubimov"
edyn@y combinator,edyn,2014,y combinator,"Andy Brett, Jason Aramburu, Luke Iseman"
efflux-systems@500startups,efflux-systems,2016,500startups,"Adam Bixler, John Myers"
eight@y combinator,eight,2015,y combinator,"Alexandra Zatarain, Andrea Ballarini, Massimo Andreasi Bassi, Matteo Franceschetti"
electroloom@BoostVC,electroloom,2014,BoostVC,"Aaron Rowley, Joseph White, Marcus Foley"
elemeno-health@y combinator,elemeno-health,2016,y combinator,"Arup Roy-Burman, Ed Nanale"
eligible-api@y combinator,eligible-api,2012,y combinator,"James Schuler, Katelyn Gleason, Patrice Krakow"
eloquent-labs@TheAlchemistAccelerator,eloquent-labs,2016,TheAlchemistAccelerator,"Gabor Angeli, Keenon Werling"
elucd@y combinator,elucd,2017,y combinator,Michael Simon
elucify@y combinator,elucify,2016,y combinator,"Gerald Fong, Mihir Deo, Naveen Krishnamurthi"
embark@y combinator,embark,2011,y combinator,"David Hodge, Ian Leighton, Taylor Malloy, Tom Hauburger"
embed-ly@y combinator,embed-ly,2010,y combinator,"Art Gibson, Sean Creeley"
emburse@y combinator,emburse,2016,y combinator,"Peter Lai, Roger Gu"
emote@y combinator,emote,2016,y combinator,"Julian Golder, Lei Xu"
enchanted-diamonds@500startups,enchanted-diamonds,2014,500startups,"Jonathan Las, Joshua Niamehr"
enflux-2@y combinator,enflux-2,2016,y combinator,"Doug Hoang, Elijah Schuldt, Mickey Ferri, Pamela Lee"
envkey@y combinator,envkey,2018,y combinator,Dane Schneider
enzyme-2@y combinator,enzyme-2,2017,y combinator,"Jacob Graham, Jared Seehafer"
equipboard@500startups,equipboard,2014,500startups,"Giulio Chiarenza, Michael Pierce"
equipmentshare@y combinator,equipmentshare,2015,y combinator,"Brad Siegler, Jabbok Schlacks, Jeff Lowe, Matthew McDonald, Willy Schlacks"
equitysim@500startups,equitysim,2017,500startups,"Ali Basij, Justin Ling, Raymond Mieszaniec"
equityzen-inc@500startups,equityzen-inc,2013,500startups,"Atish Davda, Phil Haslett, Shriram Bhashyam"
errplane@y combinator,errplane,2013,y combinator,"Paul Dix, Todd Persen"
escher-reality@y combinator,escher-reality,2017,y combinator,"Diana Hu, Ross Finman"
espark@500startups,espark,2011,500startups,David Vinca
estimote@y combinator,estimote,2013,y combinator,"Jakub Krzych, Lukasz Kostka, Steve Cheney"
etacts@y combinator,etacts,2010,y combinator,"Evan Beard, Howie Liu"
etleap@y combinator,etleap,2013,y combinator,Christian Romming
eventable@TheAlchemistAccelerator,eventable,2014,TheAlchemistAccelerator,"Akash Malhotra, Sameen Karim"
eventgeek@y combinator,eventgeek,2016,y combinator,"Alex Patriquin, Derek Dahmer, Rafayel Sedrakyan"
eventjoy@y combinator,eventjoy,2014,y combinator,"Karl White, Todd Goldberg"
everbill@500startups,everbill,2012,500startups,"Gerald Aichholzer, Harald Trautsch, Michael Kunz, Robert Beisteiner"
everyart@y combinator,everyart,2012,y combinator,
everyday-me@y combinator,everyday-me,2012,y combinator,Yu-Kuan Lin
evidence-action@y combinator,evidence-action,2017,y combinator,Amrita Ahuja
evry-healthcare@y combinator,evry-healthcare,2018,y combinator,"Brian Kohl, Chris Gay, Jay Startz, Mark Jamilkowski"
exabyte-io@TheAlchemistAccelerator,exabyte-io,2014,TheAlchemistAccelerator,Timur Bazhirov
exec@y combinator,exec,2012,y combinator,"Amir Ghazvinian, Daniel Kan, Justin Kan"
experiment@y combinator,experiment,2013,y combinator,"Cindy Wu, Denny Luan"
exponent-3@y combinator,exponent-3,2016,y combinator,"Charlie Cheever, James Ide"
eyes-on-freight@500startups,eyes-on-freight,2015,500startups,"Chris Nyenhuis, Matthew Thomas"
fabric@y combinator,fabric,2016,y combinator,"Arun Vijayvergiya, Nikolay Valtchanov"
factoryfour@500startups,factoryfour,2017,500startups,
indigo-fair@y combinator,indigo-fair,2017,y combinator,"Daniele Perito, Marcelo Cortes, Max Rhodes"
fairfly@NFX,fairfly,2016,NFX,"Ami Goldenberg, Aviel Siman-Tov, Aviel Tov, Gili Lichtman, Uri Levine"
famebit@500startups,famebit,2014,500startups,"Agnes Kozera, David Kierzkowski"
familyleaf@y combinator,familyleaf,2012,y combinator,"Ajay Mehta, Henry Liu, Wesley Zhao"
fan-stream@500startups,fan-stream,2016,500startups,"Jeff Harris, Joseph Geraghty"
fanchatter@y combinator,fanchatter,2009,y combinator,"Luke Francl, Marty Wetherall, Nate Kimmons, Norm Orstad"
fanpulse@y combinator,fanpulse,2010,y combinator,"Art Chang, Joe Pestro, Vishwas Prabhakara"
farmeron@500startups,farmeron,2011,500startups,"Marko Dukmenic, Matija Kopi"
farmlogs@y combinator,farmlogs,2012,y combinator,"Brad Koch, Jesse Vollmar"
fathomdb@y combinator,fathomdb,2008,y combinator,
favor@BoostVC,favor,2013,BoostVC,"Ben Doherty, Zac Maurais"
fearless@BoostVC,fearless,2015,BoostVC,Tim Suzman
feast@500startups,feast,2013,500startups,"David Spinks, Nadia Eghbal"
feastly@BoostVC,feastly,2013,BoostVC,Noah Karesh
care-current@y combinator,care-current,2017,y combinator,Jay Reno
featherlight@TheAlchemistAccelerator,featherlight,2014,TheAlchemistAccelerator,Kelsey Conophy
