permalink+accelerator,permalink,cohort_year,accelerator,founders
metadata@TheAlchemistAccelerator,metadata,2015,TheAlchemistAccelerator,"Asaf Shilat, Gil Allouche, Yan Manevich"
metadata@500startups,metadata,2015,500startups,"Asaf Shilat, Gil Allouche, Yan Manevich"
ninua@fbFund,ninua,2009,fbFund,"Tara Kelly, Waleed Abdulla"
ninua@500startups,ninua,2011,500startups,"Tara Kelly, Waleed Abdulla"
padlet@ImagineK12,padlet,2013,ImagineK12,"Nitesh Goel, Pranav Piyush"
padlet@y combinator,padlet,2013,y combinator,"Nitesh Goel, Pranav Piyush"
panorama@y combinator,panorama,2013,y combinator,"Aaron Feuer, Alexander Tanner, David Carel"
panorama@ImagineK12,panorama,2013,ImagineK12,"Aaron Feuer, Alexander Tanner, David Carel"
peer5@UpwestLabs,peer5,2012,UpwestLabs,"Guy Paskar, Hadar Weiss, Shachar Zohar"
peer5@y combinator,peer5,2017,y combinator,"Guy Paskar, Hadar Weiss, Shachar Zohar"
platejoy@500startups,platejoy,2013,500startups,Christina Bognet
pomello@TheAlchemistAccelerator,pomello,2015,TheAlchemistAccelerator,"Catherine Spence, Oliver Staehelin"
pomello@y combinator,pomello,2015,y combinator,"Catherine Spence, Oliver Staehelin"
rank-science-2@500startups,rank-science-2,2016,500startups,"Dillon Forrest, Ryan Bednar"
rigetti-computing@y combinator,rigetti-computing,2014,y combinator,Chad Rigetti
rigetti-computing@TheAlchemistAccelerator,rigetti-computing,2015,TheAlchemistAccelerator,Chad Rigetti
seva-coffee@TheAlchemistAccelerator,seva-coffee,2013,TheAlchemistAccelerator,Deepak Boggavarapu
seva-coffee@y combinator,seva-coffee,2015,y combinator,Deepak Boggavarapu
sfox@BoostVC,sfox,2014,BoostVC,"Akbar Thobhani, George Melika"
sfox@y combinator,sfox,2014,y combinator,"Akbar Thobhani, George Melika"
sourcery-9141@TheAlchemistAccelerator,sourcery-9141,2013,TheAlchemistAccelerator,"Na'ama Moran, Peretz Partensky"
sourcery-9141@y combinator,sourcery-9141,2013,y combinator,"Na'ama Moran, Peretz Partensky"
stitch@y combinator,stitch,2016,y combinator,"Andrew Dowling, Marcie Rogo"
stitch@500startups,stitch,2014,500startups,"Andrew Dowling, Marcie Rogo"
dataculture-inc-@500startups,dataculture-inc-,2015,500startups,"Gurudatt Bhobe, Karthik Sridhar"
dataculture-inc-@TheAlchemistAccelerator,dataculture-inc-,2015,TheAlchemistAccelerator,"Gurudatt Bhobe, Karthik Sridhar"
